video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=zg0jH0avlYQ&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@TotalFitnessUSA,Catherine Carrigan,Wes Carter How Microplastics Affect Your Health and What You Can Do About It,116,9 days,"Medical intuitive healer Catherine Carrigan interviews Wes Carter, president of Atlantic Packaging and founder of A New Earth ...",2024-01-30 02:09:09.176320
/watch?v=PDbOGgWCM-E&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@ambercentre6761,AMBER Centre,High levels of microplastics released from infant-feeding bottles during formula preparation,960,3 years,New analysis presents evidence of global infant exposure to microplastics and the need for appropriate mitigation strategies and ...,2024-01-30 02:09:09.179936
/watch?v=R4MyifvlfbY&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@Seeker,Seeker,"You’re Breathing in Microplastics, But What Does That Mean for Your Health?",69K,2 years,"Microplastics are everywhere—in our food, water, and now even the air we breathe. But scientists are just starting to understand ...",2024-01-30 02:09:09.184084
/watch?v=fsjvwQclGLo&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@Vox,Vox,"Why 99% of ocean plastic pollution is ""missing""",5.3M,2 years,The plastic we dump into the ocean might be hiding in plain sight. Subscribe to our channel! http://goo.gl/0bsAjO Vox.com is a ...,2024-01-30 02:09:09.188259
/watch?v=-_2Ost0Sw3k&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@TEDx,TEDx Talks,Microplastics All Around Us  | Dr. Jesse Meiller | TEDxFoggyBottom,2.2K,1 year,"Doctor Jesse Meiller, serves as the Director of Undergraduate Studies in American University's Department of Environmental ...",2024-01-30 02:09:09.192181
/watch?v=44KE0M--IqI&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@Firstpost,Firstpost,Microplastics Could Enter Your Brain. Here's How | Vantage with Palki Sharma,25K,4 months,"Microplastics Could Enter Your Brain. Here's How | Vantage with Palki Sharma Microplastics are already in our lungs, hearts and ...",2024-01-30 02:09:09.198288
/watch?v=beUhzQAkanM&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@Vox,Vox,Why these plankton are eating plastic,1.3M,4 years,"Microfibers, used to make things like yoga pants, are the ocean's tiniest problem. This video is presented by Brilliant: ...",2024-01-30 02:09:09.207108
/watch?v=AF2DpLu-7BM&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@royalsocietyofchemistry4447,Royal Society Of Chemistry,Microplastics toxicologist,674,1 year,"Stephanie Wright leads the Microplastics Team at Imperial College London, focussing on the detection, characterisation, and ...",2024-01-30 02:09:09.213547
/watch?v=MW9BVhouwj4&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@surrealentertainment,surreal entertainment,a minion overdoses on microplastics and then proceeds to jump off a rooftop,443K,1 year,the story of a minion going against the grain (thanks to @Podel for the minion model inspiration) Discord: ...,2024-01-30 02:09:09.218875
/shorts/QlSLeJ8a-Ms,/@SciShow,SciShow,This is an egg-celent solution to microplastics. #shorts #science #SciShow,507K,10 months,Hosted by: Savannah Geary (they/them) Lucas Principe: Writer Sarah Mukherjee: Fact Checker Amy Peterson: Script Editor Faith ...,2024-01-30 02:09:09.222188
/watch?v=pPfDBbdyqSo&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@sustainabilitytheory5154,Sustainability Theory,Filtering Microplastics From Water With Egg Whites,284,1 year,Ian Cossland from Timcast IRL Twitter post areogel could filter out microplasticssalt/desalination 98-99% effectiveness Inventor ...,2024-01-30 02:09:09.228646
/watch?v=RGZQkkruxdo&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@WION,WION,Gravitas: The menace of microplastics,10K,5 months,Microplastics have been found in the hearts of human beings undergoing cardiac surgery. Molly Gambhir tells you more ...,2024-01-30 02:09:09.231902
/watch?v=HO6Hpf0kg9o&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@cheddar,Cheddar,How Much Plastic Is Really In Our Bodies? - Cheddar Explains,48K,1 year,"Plastic has become the face of global pollution. To date, humans have produced 8.3 billion metric tons of it. Once discarded ...",2024-01-30 02:09:09.237842
/watch?v=XwFXFxAFuJU&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@ecoayamedia,AYA,How Fast Fashion & (Recycled) Polyester Create The Microplastics In Our Blood,10K,1 year,"We are covered in petroleum. Hydrocarbons create the plastics (polyester, nylon, elastane, acrylic, etc) that seep into our ...",2024-01-30 02:09:09.241185
/watch?v=veMdowmPSbw&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@BBCEarthScience,BBC Earth Science,How Much Plastic Do You Eat? #OurBluePlanet | Earth Science,115K,6 years,"For more information on this fascinating science check out the following links from the University of Exeter: Plastics, plankton and ...",2024-01-30 02:09:09.249870
